naturalis_id,species_id
ZMA.MAM.10261,16553
ZMA.MAM.10265,16553
ZMA.MAM.2248.b,16553
ZMA.MAM.4313.b,16553
RGM.584813,8521
RGM.985814,8521
RMNH.CRUS.6133,8521
RMNH.CRUS.6297,8521
RMNH.CRUS.6432,8521
RMNH.CRUS.6528,8521
RMNH.CRUS.6552,8521
RGM.585375,8547
RGM.597153,8547
RGM.597202,8547
RMNH.CRUS.8793,8547
RMNH.CRUS.8794,8547
RGM.585392,13681
RGM.585401,26115
RGM.585419,15695
RGM.597270,15695
RGM.597272,15695
RMNH.CRUS.8711,15695
RGM.585447,21149
RGM.585455,8548
RGM.597146,8548
RGM.597114,8518
RGM.597186,8518
RGM.597137,8627
RGM.597234,8627
RMNH.CRUS.6360,8627
RMNH.CRUS.6362,8627
ZMA.CRUS.B.150910,8627
RGM.597185,8367
RMNH.CRUS.6159,8367
RMNH.CRUS.6262,8367
RMNH.CRUS.8716,8367
RGM.597237,10454
RGM.597283,17850
RMNH.CRUS.6228,17850
RMNH.CRUS.6229,17850
RGM.597293,21093
RGM.597296,21136
RGM.597319,26114
RGM.608581,25982
RGM.608763,25982
RGM.934191,25982
RMNH.MOL.114704,25982
ZMA.MOLL.220662,25982
ZMA.MOLL.220666,25982
ZMA.MOLL.220713,25982
ZMA.MOLL.220722,25982
ZMA.MOLL.220726,25982
ZMA.MOLL.220767,25982
RGM.608655,15085
RMNH.MOL.AD.10718,15085
RMNH.MOL.AD.10939,15085
RMNH.MOL.AD.13172,15085
RMNH.MOL.AD.24084,15085
RMNH.MOL.AD.2442,15085
RMNH.MOL.AD.26706,15085
RMNH.MOL.AD.9893,15085
RGM.608685,10211
RGM.608965,10211
ZMA.MOLL.2267793,10211
RGM.609213,5184
RGM.609214,8523
RGM.609571,8523
RGM.609218,11320
RGM.609224,11320
RMNH.CRUS.6258,11320
RGM.634504,5244
RGM.634527,5244
RGM.770799,5244
RGM.78632,5244
RMNH.MAM.1190.B,5244
RMNH.MAM.1429.B,5244
RMNH.MAM.17379,5244
RMNH.MAM.43443,5244
RMNH.MAM.43452,5244
RMNH.MAM.51203,5244
RGM.69532,34
RMNH.PISC.23447,34
RMNH.PISC.24103,34
RMNH.PISC.2577.a,34
RMNH.PISC.D.1949,34
ZMA.PISC.126015,34
RGM.783115,27093
RGM.783756,2613
RMNH.MOL.125462,2613
RMNH.MOL.177504,2613
RMNH.MOL.177528,2613
RMNH.MOL.177631,2613
RMNH.MOL.177648,2613
RMNH.MOL.177650,2613
RMNH.MOL.AD.20812,2613
RGM.794375,4083
RMNH.MOL.97887,4083
RGM.794445.b,19431
RMNH.MOL.202628,19431
RMNH.MOL.202644,19431
RMNH.MOL.30279,19431
RMNH.MOL.8476,19431
RGM.796034,4283
RMNH.PISC.26228,4283
RMNH.PISC.27967,4283
RMNH.PISC.28034,4283
RMNH.PISC.28035,4283
RMNH.PISC.34157,4283
ZMA.PISC.109601,4283
ZMA.PISC.114249,4283
ZMA.PISC.114911,4283
RGM.796092,15645
RMNH.PISC.6727,15645
RGM.796118,28833
RGM.796160,11800
RMNH.PISC.26645,11800
RMNH.PISC.27222,11800
RMNH.PISC.27223,11800
RMNH.PISC.28772,11800
ZMA.PISC.116408,11800
ZMA.PISC.116414,11800
RGM.796205,29310
RGM.796243,20908
RMNH.PISC.D.366,20908
ZMA.PISC.114900,20908
RGM.798822,2974
RMNH.PISC.27688,2974
RMNH.PISC.3502,2974
RMNH.PISC.4908,2974
ZMA.PISC.111620,2974
ZMA.PISC.116422,2974
RGM.803821,12815
RGM.943442,12815
RGM.803822,6009
RMNH.MOL.27923,6009
RMNH.MOL.49687,6009
ZMA.MOLL.2325,6009
ZMA.MOLL.431354,6009
ZMA.MOLL.437,6009
RGM.807129,7556
RGM.826234,7556
RGM.808127,8327
RGM.943694,8327
RGM.809940,12363
RMNH.MOL.90676,12363
RGM.812984,5039
RMNH.MOL.AD.22302,5039
RMNH.MOL.AD.9970,5039
ZMA.MOLL.337138,5039
ZMA.MOLL.337144,5039
RGM.813742,17637
RMNH.PISC.25993,17637
RMNH.PISC.35934,17637
RGM.844144,23507
RMNH.VER.2349,23507
RMNH.VER.ANN.1987,23507
RMNH.VER.ANN.1991,23507
RMNH.VER.ANN.829,23507
RMNH.VER.ANN.842,23507
RMNH.VER.ANN.846,23507
ZMA.V.POL.1143.6,23507
ZMA.V.POL.2419,23507
RGM.87488,15767
RMNH.MAM.55002.b,15767
RMNH.MAM.61021,15767
RGM.879433,16051
RMNH.XIP.1,16051
RMNH.XIP.10,16051
RMNH.XIP.12,16051
RMNH.XIP.13,16051
RMNH.XIP.2,16051
RMNH.XIP.5,16051
RMNH.XIP.60,16051
RMNH.XIP.62,16051
RMNH.XIP.9,16051
RGM.891999,10192
RMNH.ECH.129,10192
ZMA.ECH.E.5177,10192
ZMA.ECH.E.7937,10192
RGM.916044,7975
RGM.916045,7975
RGM.916047,7975
RGM.916049,7975
RMNH.BRY.5475,7975
RMNH.BRY.5653,7975
RMNH.BRY.5654,7975
RMNH.BRY.5655,7975
ZMA.BRYO.1600,7975
RGM.916051,16467
RGM.927588,21812
RGM.932383,21812
RGM.932437,21812
RMNH.MOL.94981,21812
ZMA.MOLL.119734,21812
ZMA.MOLL.119761,21812
ZMA.MOLL.119838,21812
ZMA.MOLL.120548,21812
ZMA.MOLL.120552,21812
ZMA.MOLL.120675,21812
ZMA.MOLL.120677,21812
ZMA.MOLL.120690,21812
ZMA.MOLL.120706,21812
ZMA.MOLL.2509151,21812
RGM.928295,29778
RMNH.MOL.186942,29778
RMNH.MOL.188523,29778
RMNH.MOL.188528,29778
RMNH.MOL.6401,29778
ZMA.MOLL.101979,29778
ZMA.MOLL.340280,29778
ZMA.MOLL.340344,29778
RGM.928748,4460
RGM.928934,9057
RMNH.MOL.232887,9057
ZMA.MOLL.2272606,9057
ZMA.MOLL.2272609,9057
ZMA.MOLL.24993,9057
RGM.929537,7892
RGM.929547,7892
RMNH.MOL.11528,7892
RMNH.MOL.11532,7892
RMNH.MOL.11542,7892
ZMA.MOLL.413212,7892
RGM.929619,18661
ZMA.MOLL.413349,18661
RGM.930598,15716
RGM.930612,15716
RGM.933995,15716
RGM.930700,18560
RGM.930714,18560
RGM.930719,18560
RGM.939348,18560
RMNH.MOL.AD.20196,18560
ZMA.MOLL.92361,18560
RGM.931091,18921
RGM.931111,18921
RMNH.MOL.AD.27166,18921
RGM.931596,26675
RGM.931613,26675
RGM.934261,26675
RGM.934266,26675
RGM.934272,26675
RGM.939781,26675
RGM.939788,26675
RGM.931661,3753
RGM.931741,28477
RMNH.MOL.15011,28477
RGM.932164,7659
